MORTRANK,PRECIP,EDUC,NONWHITE,NOX,SO2
1,13,12.19999981,3,32,3
1,28,12.10000038,7.5,2,1
1,10,12.10000038,5.900000095,66,20
1,43,9.5,2.900000095,7,32
1,25,12.10000038,2,11,26
1,35,11.80000019,14.80000019,1,1
1,60,11.5,13.5,1,1
1,11,12.10000038,7.800000191,319,130
1,31,10.89999962,5.099999905,3,10
1,15,12.19999981,4.699999809,8,28
1,32,11.10000038,5,4,18
1,43,11.5,7.199999809,3,10
1,31,11.39999962,11.5,1,1
1,37,12,3.599999905,21,44
1,45,11.10000038,1,3,8
1,35,12.19999981,5.699999809,7,20
1,45,10.60000038,5.300000191,4,4
1,45,11.10000038,3.400000095,4,20
1,18,12.19999981,13.69999981,171,86
1,42,9,4.800000191,8,49
2,40,10.30000019,2.5,2,11
2,36,10.69999981,6.699999809,7,20
2,35,12,12.60000038,4,4
2,36,11.39999962,8.800000191,15,59
2,46,11.30000019,8.800000191,3,8
2,30,11.10000038,5.800000191,23,125
2,43,12.10000038,3.5,32,62
2,36,11.39999962,12.39999962,4,16
2,42,10.10000038,2.200000048,4,18
2,30,10.80000019,13.10000038,4,11
2,41,9.600000381,2.700000048,11,89
2,38,11.39999962,3.799999952,5,25
2,46,11.39999962,21,5,1
2,34,9.699999809,17.20000076,15,68
2,38,10.69999981,11.69999981,13,39
2,37,11.89999962,13.10000038,9,15
2,31,10.80000019,15.80000019,35,124
2,45,10.10000038,21,14,78
2,44,9.800000191,0.800000012,6,33
2,41,12.30000019,25.89999962,28,102
3,39,11.39999962,15.60000038,7,33
3,40,10.19999981,13,26,146
3,42,10.39999962,22.70000076,3,5
3,31,10.69999981,9.5,7,25
3,47,11.10000038,27.10000038,8,24
3,35,11.10000038,14.69999981,21,64
3,30,9.899999619,13.10000038,37,193
3,36,10.60000038,8.100000381,59,263
3,42,10.69999981,11.30000019,26,108
3,35,11,3.5,10,39
3,36,10.5,8.100000381,12,37
3,45,11.30000019,12.10000038,11,42
3,50,10.39999962,36.70000076,18,34
3,42,10.5,17.5,32,161
3,52,9.600000381,22.20000076,8,27
3,33,10.89999962,16.29999924,63,278
3,44,11,28.60000038,9,48
3,53,10.19999981,38.5,32,72
3,43,9.600000381,24.39999962,38,206
3,54,9.699999809,31.39999962,17,1
